tv,name,sector,industry,mcap_b,summary
NYSE:WAT,Waters Corporation,Healthcare,Diagnostics & Research,39.9,"Waters Corporation provides analytical workflow solutions in Asia, the Americas, and Europe. The company operates through two segments, Waters and TA. The company designs, manufactures, sells, and services liquid chromatography, as well as mass spectrometry (MS) technology systems and supports products, including chromatography columns, and other consumable products. It also designs, manufactures,"
NASDAQ:WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Entertainment,70.1,"Warner Bros. Discovery, Inc. operates as a media and entertainment company worldwide. It operates through three segments: Streaming, Studios, and Global Linear Networks. The Streaming segment offers streaming services, such as HBO Max and discovery+, and premium pay-TV services, including HBO and certain premium sports streaming products for mobile and connected TV devices. The Studios segment is "
NYSE:WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,17.4,"WESCO International, Inc. provides business-to-business distribution, logistics services, and supply chain solutions in the United States, Canada, and internationally. It operates through three segments: Electrical & Electronic Solutions (EES), Communications & Security Solutions (CSS), and Utility & Broadband Solutions (UBS). The EES segment offers electrical equipment and supplies, automation an"
TSX:WCN,WASTE CONNECTIONS INC,Industrials,Waste Management,55.8,"Waste Connections, Inc. provides non-hazardous waste collection, transfer, and disposal services in the United States and Canada. It offers collection services to residential, commercial, municipal, industrial, and exploration and production (E&P) customers; landfill disposal services; and recycling services for various recyclable materials, including compost, cardboard, mixed paper, plastic conta"
NYSE:WCN,"Waste Connections, Inc.",Industrials,Waste Management,40.5,"Waste Connections, Inc. provides non-hazardous waste collection, transfer, and disposal services in the United States and Canada. It offers collection services to residential, commercial, municipal, industrial, and exploration and production (E&P) customers; landfill disposal services; and recycling services for various recyclable materials, including compost, cardboard, mixed paper, plastic conta"
TSX:WCP,WHITECAP RESOURCES INC,Energy,Oil & Gas E&P,22.5,"Whitecap Resources Inc. engages in the acquisition, development, and holding of interests in petroleum and natural gas properties and assets in Western Canada. Its primary areas of focus are development programs located in Northern Alberta, British Columbia, Central Alberta, and Western and Eastern Saskatchewan. The company was founded in 2009 and is headquartered in Calgary, Canada."
NASDAQ:WDAY,"Workday, Inc.",Technology,Software - Application,44.4,"Workday, Inc. provides enterprise cloud applications in the United States and internationally. The company offers a suite of financial management applications to maintain accounting information; manage financial processes, such as payables and receivables; identify real-time financial, operational, and management insights; perform financial consolidation; reduce time-to-close; promote internal con"
NASDAQ:WDC,Western Digital Corporation,Technology,Computer Hardware,178.4,"Western Digital Corporation engages in the development, manufacture, and sale of data storage devices and solutions based on hard disk drive (HDD) technology in the United States, Asia, Europe, the Middle East, and Africa. The company offers internal HDDs, data center drives, data center platforms, external drives, portable drives, NAS for home and office, and accessories. It sells its data storag"
NYSE:WDS,Woodside Energy Group Limited,Energy,Oil & Gas E&P,0.0,"Woodside Energy Group Ltd engages in the exploration, evaluation, development, production, marketing, and sale of hydrocarbons in the Asia Pacific, Africa, the Americas, and the Europe. It produces liquefied natural gas, pipeline gas, crude oil and condensate, and natural gas liquids. The company holds interests in the Pluto LNG, North West Shelf, Wheatstone and Julimar-Brunello, Bass Strait, Nguj"
NYSE:WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,34.4,"WEC Energy Group, Inc., through its subsidiaries, provides regulated natural gas and electricity, and renewable and nonregulated renewable energy services in the United States. The company operates through Wisconsin, Illinois, Other States, Electric Transmission, and Non-Utility Energy Infrastructure segments. It generates and distributes electricity from coal, natural gas, oil, and nuclear, as we"
NYSE:WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,170.0,"Welltower Inc., an S&P 500 company, is positioned at the center of the silver economy, focusing on rental housing for aging seniors across the United States, United Kingdom, and Canada. Their portfolio of 2,500+ seniors and wellness housing communities are positioned at the intersection of housing and hospitality, creating vibrant communities for mature renters and older adults. They believe our r"
NYSE:WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,20.2,"Western Midstream Partners, LP, together with its subsidiaries, operates as a midstream energy company primarily in the United States. The company is involved in gathering, compressing, treating, processing, and transporting natural gas; gathering, stabilizing, and transporting condensate, natural gas liquids (NGLs), and crude oil; and gathering and disposing of produced water. It also buys and se"
NYSE:WF,Woori Financial Group Inc.,Financial Services,Banks - Regional,18.0,"Woori Financial Group Inc., together with its subsidiaries, operates as a bank which provides various financial services in Korea, China, the United States, the United Kingdom, Japan, and internationally. The company operates through Banking Insurance, Credit Card Capital, Investment Securities, and Others segments. It offers loans, deposits, and relevant services; and contracting and maintenance "
NYSE:WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,270.6,"Wells Fargo & Company, a financial services company, provides diversified banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. It operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The company's financial products and s"
NYSE:WIT,Wipro Limited,Technology,Information Technology Services,16.6,"Wipro Limited operates as an information technology (IT), consulting, and business process services company worldwide. It operates through IT Services and IT Products segments. The IT Services segment offers AI-powered IT and IT-enabled services, including digital strategy advisory, customer-centric design, technology and IT consulting, custom application design, development, re-engineering and ma"
NYSE:WM,"Waste Management, Inc.",Industrials,Waste Management,86.2,"Waste Management, Inc., through its subsidiaries, provides environmental solutions to residential, commercial, industrial, and municipal customers in the United States, Canada, Western Europe, and internationally. It offers collection services, including picking up and transporting waste and recyclable materials from where it was generated to a transfer station, recovery facility, or disposal site"
NYSE:WMB,"Williams Companies, Inc. (The)",Energy,Oil & Gas Midstream,91.1,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission, Power & Gulf, Northeast G&P, West, and Gas & NGL Marketing Services segments. The Transmission, Power & Gulf segment comprises Transco, NWP, and Mountain West interstate natural gas pipelines, and their related natural gas stor"
NASDAQ:WMG,Warner Music Group Corp.,Communication Services,Entertainment,14.7,"Warner Music Group Corp. operates as a music entertainment company in the United States, the United Kingdom, Germany, and internationally. It operates through Recorded Music and Music Publishing segments. The company is involved in the discovery and development of recording artists, as well as related marketing, promotion, distribution, sale, and licensing of music created by recording artists; ma"
NYSE:WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,9.9,"Advanced Drainage Systems, Inc. designs, manufactures, and markets thermoplastic corrugated pipes and related water management products in the United States, Canada, and internationally. The company operates through Stormwater and Wastewater segments. The company offers single, double, and triple wall corrugated polypropylene and polyethylene pipes; plastic leachfield chambers and systems; EZflow "
NASDAQ:WMT,Walmart Inc.,Consumer Defensive,Discount Stores,843.0,"Walmart Inc. engages in the operation of retail and wholesale stores and clubs, ecommerce websites, and mobile applications worldwide. The company operates through three segments: Walmart U.S., Walmart International, and Sam's Club U.S. It operates supercenters, supermarkets, warehouse clubs, cash and carry stores, and discount stores under Walmart and Walmart Neighborhood Market brands; membershi"
TSX:WN,WESTON GEORGE,Consumer Defensive,Grocery Stores,37.7,"George Weston Limited provides food and drug retailing, and financial services in Canada. The company operates in two segments, Loblaw Companies Limited (Loblaw) and Choice Properties Real Estate Investment Trust (Choice Properties). The Loblaw segment provides grocery, corporate and franchise-owned retail food, and associate-owned drug stores, including in-store pharmacies, health care services, "
NYSE:WPC,W. P. Carey Inc. REIT,Real Estate,REIT - Diversified,15.8,"W. P. Carey Inc. ranks among the largest net lease REITs with a well-diversified portfolio of high-quality, operationally critical commercial real estate. It includes 1,748 net lease properties covering approximately 188 million square feet as of June 30, 2026. With offices in New York, London, Amsterdam and Dallas, the company remains focused on investing primarily in single-tenant, industrial, w"
TSX:WPM,WHEATON PRECIOUS METALS CORP,Basic Materials,Gold,98.8,"Wheaton Precious Metals Corp. operates as a precious metal streaming company. It explores for gold, silver, palladium, platinum, and cobalt deposits in Canada, the United States, Mexico, Portugal, Sweden, the United Kingdom, Argentina, Chile, Brazil, Peru, Ecuador, Colombia, Côte d'Ivoire, Ethiopia, and South Africa. The company was formerly known as Silver Wheaton Corp. and changed its name to Wh"
NYSE:WPM,Wheaton Precious Metals Corp,Basic Materials,Gold,71.6,"Wheaton Precious Metals Corp. operates as a precious metal streaming company. It explores for gold, silver, palladium, platinum, and cobalt deposits in Canada, the United States, Mexico, Portugal, Sweden, the United Kingdom, Argentina, Chile, Brazil, Peru, Ecuador, Colombia, Côte d'Ivoire, Ethiopia, and South Africa. The company was formerly known as Silver Wheaton Corp. and changed its name to Wh"
NYSE:WRB,W.R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25.9,"W. R. Berkley Corporation, an insurance holding company, operates as a commercial line writer worldwide. The company operates through Insurance and Reinsurance & Monoline Excess segments. The Insurance segment underwrites commercial insurance business, including excess and surplus lines, admitted lines, and specialty personal lines. This segment also provides accident and health insurance and rein"
NYSE:WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,26.7,"Williams-Sonoma, Inc. operates as an omni-channel specialty retailer of various products for home the United States and internationally. The company provides cooking, dining, and entertaining products, such as cookware, tools, electrics, cutlery, tabletop and bar, outdoor, furniture, and a library of cookbooks. It offers home furnishings, home decor products and accessories, bedding, lighting, rug"
NYSE:WSO,"Watsco, Inc.",Industrials,Industrial Distribution,12.8,"Watsco, Inc., together with its subsidiaries, engages in the distribution of air conditioning, heating, and refrigeration equipment, and related parts and supplies in the United States, Canada, Latin America, and the Caribbean. It distributes equipment, including residential ducted and ductless air conditioners, such as gas, electric, and oil furnaces; commercial air conditioning and heating equip"
TSX:WSP,WSP GLOBAL INC,Industrials,Engineering & Construction,23.8,"WSP Global Inc. operates as a professional services consulting firm in the United States, Canada, the United Kingdom, Sweden, Australia, and internationally. The company advises, plans, designs, and manages projects for rail, transit, aviation, highways, bridges, tunnels, water, maritime, and urban infrastructure for public and private clients, construction contractors, and other partners. It also"
NYSE:WST,"West Pharmaceutical Services, I",Healthcare,Medical Instruments & Supplies,23.8,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syr"
NYSE:WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,11.9,"Essential Utilities, Inc., through its subsidiaries, operates regulated utilities that provide water, wastewater, and natural gas services in the United States. The company operates through Regulated Water; and Regulated Natural Gas segments. It also provides utility service line protection solutions and repair services to households; gas marketing and production activities; and natural gas distri"
NYSE:WTS,"Watts Water Technologies, Inc.",Industrials,Specialty Industrial Machinery,11.9,"Watts Water Technologies, Inc., together with its subsidiaries, supplies products and solutions that manage and conserve the flow of fluids and energy into, through, and out of buildings in the commercial, industrial, and residential markets. The company offers residential and commercial flow control and protection products, including backflow preventers, water pressure regulators, temperature and"
NASDAQ:WTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers,29.4,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. The company operates through two segments: Health, Wealth & Career and Risk & Broking. It offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit programs, including medical, dental, dis"
NASDAQ:WWD,"Woodward, Inc.",Industrials,Aerospace & Defense,20.0,"Woodward, Inc. designs, manufactures, and services control solutions for the aerospace and industrial markets worldwide. It operates through two segments, Aerospace and Industrial. The Aerospace segment offers fuel pumps, metering units, actuators, air valves, specialty valves, fuel nozzles, and thrust reverser actuation systems for turbine engines and nacelles, as well as flight deck controls, ac"
NYSE:WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,16.3,"Weyerhaeuser Company, one of the world's largest private owners of timberlands, began operations in 1900 and today owns or controls more than 10 million acres of timberlands in the U.S., as well as additional public timberlands managed under long-term licenses in Canada. Weyerhaeuser has been a global leader in sustainability for more than a century and manages 100 percent of its timberlands on a "
NASDAQ:XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,47.2,"Xcel Energy Inc., through its subsidiaries, operates as an electric and natural gas delivery company in the United States. It operates through Regulated Electric Utility and Regulated Natural Gas Utility segments. The company generates, purchases, transmits, distributes, and sells electricity through its energy portfolio, including wind, nuclear, hydroelectric, biomass, and solar power from both o"
NYSE:XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,673.0,"ExxonMobil Holdings Corporation engages in the exploration and production of crude oil and natural gas in the United States, Canada, and internationally. The company operates through Upstream, Energy Products, Chemical Products, and Specialty Products segments. Its Upstream segment explores for and produces crude oil and natural gas. The Energy Products segment offers fuels, aromatics, and catalys"
NYSE:XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,10.2,"XPeng Inc. operates as a physical AI company. It has developed a Physical AI architecture covering Turing AI chips, foundation models, and integrated software and hardware applications. The company's products include smart EVs, robotaxis, and humanoid robots. XPeng Inc. was founded in 2015 and is headquartered in Guangzhou, the People's Republic of China."
NYSE:XPO,"XPO, Inc.",Industrials,Trucking,21.7,"XPO, Inc., together with its subsidiaries, provides freight transportation services in the United States, North America, France, the United Kingdom, and rest of Europe. The company operates in two segments, North American Less-Than-Truckload (LTL) and European Transportation. The North American LTL segment provides shippers with geographic density and day-definite domestic and cross-border service"
NYSE:XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,25.0,"Xylem Inc., together with its subsidiaries, engages in the design, manufacture, and servicing of engineered products and solutions for utility, industrial, and residential and commercial building services settings worldwide. It operates through Water Infrastructure; Applied Water; Measurement and Control Solutions; and Water Solutions and Services segments. The company offers water, wastewater, an"
NYSE:XYZ,"Block, Inc.",Technology,Software - Infrastructure,47.5,"Block, Inc., together with its subsidiaries, builds ecosystems focused on commerce and financial products and services in the United States and internationally. It operates through two segments: Square and Cash App. The Square segment offers managed payment services; software solutions; hardware products, such as registers, terminals, stands, and readers for contactless and chips; banking services"
NYSE:YPF,YPF Sociedad Anonima,Energy,Oil & Gas Integrated,21.1,"YPF Sociedad Anónima, an energy company, engages in the oil and gas upstream and downstream activities in South America and Argentina. The company operates through the Upstream, Midstream and Downstream, LNG and Integrated Gas, and New Energies segments. It is involved in the exploration and exploitation of hydrocarbon fields and production of crude oil and natural gas; the refining, transportatio"
NYSE:YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,38.9,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises traditional and non-traditional quick service restaurants in the United States, China, and internationally. The company operates in four segments: KFC Division, Taco Bell Division, Pizza Hut Division, and Habit Burger & Grill Division. It also operates restaurants under the KFC, Pizza Hut, Taco Bell, and Habit Bu"
NYSE:YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants,14.4,"Yum China Holdings, Inc. owns, operates, and franchises restaurants in the People's Republic of China. The company operates through two KFC, Pizza Hut, and All Other segments. It operates restaurants under the KFC, Pizza Hut, Taco Bell, Lavazza, Little Sheep, and Huang Ji Huang concepts. The company also offers online food delivery services. Yum China Holdings, Inc. was founded in 1987 and is head"
NYSE:ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18.0,"Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates as a medical technology company worldwide. The company designs, manufactures, and markets orthopedic reconstructive products, such as knee and hip products; S.E.T. products, including sports medicine, biologics, foot and ankle, upper extremities, and trauma and CMFT products; sports medicine products for the repair of soft tiss"
NASDAQ:ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,16.4,"Zebra Technologies Corporation, together with its subsidiaries, operates in the automatic identification and data capture solutions industry worldwide. It operates in two segments, Connected Frontline, and Asset Visibility and Automation. The company designs, manufactures, and sells printers that produce labels, wristbands, tickets, receipts, and plastic cards; dye-sublimination thermal card print"
NASDAQ:ZM,"Zoom Communications, Inc.",Technology,Software - Application,28.1,"Zoom Communications, Inc. provides an Artificial Intelligence-first open work platform for human connection in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company offers Zoom Meetings that offers HD video, voice, chat, and content sharing through mobile devices, desktops, laptops, telephones, and conference room systems; Zoom Phone, a cloud phone system; and Zoom Team "
NASDAQ:ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,27.0,"Zscaler, Inc. operates as a cloud security company worldwide. The company offers cyberthreat protection products, including Zero Trust SASE, a solution that securely connects workforces, AI agents, workloads, and IoT/OT devices to cloud apps and AI services; Zscaler Internet Access, which provides advanced threat protection, sandbox, and zero trust firewall; Zscaler Private Access solution that in"
NYSE:ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,15.7,"ZTO Express (Cayman) Inc. provides express delivery and other value-added logistics services in the People's Republic of China. It also offers less-than-truckload (LTL) logistics services; integrated logistics solutions for warehousing, distribution, and transportation; and freight forwarding services. The company was founded in 2002 and is headquartered in Shanghai, the People's Republic of China"
NYSE:ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,30.3,"Zoetis Inc. engages in the discovery, development, manufacture, and commercialization of medicines, vaccines, diagnostic products and services, biodevices, genetic tests, and precision animal health solutions for the animal health industry in the United States and internationally. The company commercializes products primarily across companion animals comprising dogs, cats, and horses; and species,"
NASDAQ:PAYP,PayPay Corporation - American D,Technology,Software - Infrastructure,12.0,"PayPay Corporation, a digital finance platform, provides payment and financial services in Japan. It operates through two segments, Payment and Financial Service. The Payment segment provides payment settlement and related services through its PayPay app; and credit payment services, such as revolving and installment payment options and cash advances. The Financial service segment offers internet "
NYSE:CRL,Charles River Laboratories Inte,Healthcare,Diagnostics & Research,13.4,"Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, and safety testing services in the United States, Europe, Canada, the Asia Pacific, and internationally. The Research Models and Services segment produces and sells rodents, and purpose-bred rats and mice for use by researchers. This segment also provides a range of services to assist its clients in s"
NYSE:AES,The AES Corporation,Utilities,Utilities - Diversified,10.6,"The AES Corporation, together with its subsidiaries, operates as a power generation and utility company. It operates through four segments: Renewables, Utilities, Energy Infrastructure, and New Energy Technologies. The company owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries; owns and/or operates utilities to g"
TSX:ATRL,ATKINSREALIS GROUP INC,Industrials,Engineering & Construction,13.7,"AtkinsRéalis Group Inc., together with its subsidiaries, provides professional services and project management, and capital investment services in the United Kingdom, Canada, the United States, Saudi Arabia, and internationally. It operates through eight segments: Canada, UKI, USLA, AMEA, Nuclear, Linxon, LSTK Projects, and Capital. The company provides consultancy, strategy, advisory, engineering"
NASDAQ:LFUS,"Littelfuse, Inc.",Technology,Electronic Components,10.7,"Littelfuse, Inc. designs, manufactures, and sells electronic components, modules, and subassemblies. It operates through three segments: Electronics, Transportation, and Industrial. Its Electronics segment offers fuses and fuse accessories, coefficient resettable fuses, switches and interconnect solutions, polymer electrostatic discharge suppressors, varistors, reed switch based magnetic sensing, "
NYSE:TIMB,TIM S.A.,Communication Services,Telecom Services,9.0,"TIM S.A. engages in the telecommunications sector in Brazil. It offers landline switched telephone services in local, national, and international long-distance modes, as well as personal mobile and multimedia communication services. The company is based in Rio de Janeiro, Brazil. TIM S.A. is a subsidiary of TIM Brasil Serviços e Participações S.A."
NYSE:DCI,"Donaldson Company, Inc.",Industrials,Specialty Industrial Machinery,0.0,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company operates through Mobile Solutions, Industrial Solutions, and Life Sciences segments. The Mobile Solutions segment provides replacement filters for air and liquid filtration applications, such as air filtration systems, fuel, lube and hydraulic systems, emissions systems and sensors, indic"
NYSE:HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,14.0,"Hecla Mining Company, together with its subsidiaries, provides precious and base metals in the United States, Canada, Japan, Korea, China, and internationally. The company mines for silver, gold, lead, and zinc concentrates, as well as carbon material containing silver and gold for custom smelters, metal traders, and third-party processors; and unrefined doré containing silver and gold. The compan"
NASDAQ:VIAV,Viavi Solutions Inc.,Technology,Communication Equipment,9.7,"Viavi Solutions Inc. engages in the provision of test and measurement and optical technologies for military, aerospace, railway and first responder communications in the Americas, the Asia-Pacific, Europe, the Middle East, and Africa. The company operates in two segments, Network and Service Enablement (NSE) and Optical Security and Performance Products (OSP). The NSE segment provides integrated p"
NASDAQ:SFD,"Smithfield Foods, Inc.",Consumer Defensive,Packaged Foods,8.1,"Smithfield Foods, Inc., together with its subsidiaries, produces various packaged meats and fresh pork products in the United States and internationally. It operates through Packaged Meats, Fresh Pork, Hog Production, and Other segments. The Packaged Meats segment processes fresh meat into various packaged meats products, including bacon, sausage, hot dogs, deli and lunch meats, dry sausage produc"
NYSE:HUBS,"HubSpot, Inc.",Technology,Software - Application,11.9,"HubSpot, Inc., together with its subsidiaries, provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes Marketing Hub, a toolset for marketing automation and email, social media, SEO, AEO, and reporting and analytics; Sales Hub offers email templates and tracking, conversations and live "
NASDAQ:JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,11.1,"Jack Henry & Associates, Inc. operates as a financial technology company that connects people and financial institutions through technology solutions and payment processing services in the United States. It operates through four segments: Core, Payments, Complementary, and Corporate Services. The Core segment provides core information processing platforms to banks and credit unions, which consists"
NYSE:SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,14.6,"Sunoco LP, together with its subsidiaries, engages in the energy infrastructure and distribution of motor fuels in the United States. It operates in four segments: Fuel Distribution, Pipeline Systems, Refinery, and Terminals. The Fuel Distribution segment distributes motor fuels and other petroleum products, such as propane and lubricating oil to third-party dealers and distributors, independent o"
NASDAQ:CART,Maplebear Inc.,Consumer Cyclical,Internet Retail,10.7,"Maplebear Inc., doing business as Instacart, operates as a technology and enablement partner for the grocery industry in the United States and internationally. The company offers Instacart Marketplace which helps retailers serve customers' needs by supporting fulfillment options, shopping occasions, and categories; Instacart Enterprise platform, an end-to-end technology solution for retailers acro"
NASDAQ:CGNX,Cognex Corporation,Technology,Scientific & Technical Instruments,10.5,"Cognex Corporation provides machine vision products that capture and analyze visual information to automate manufacturing and distribution tasks in the United States, Europe, Greater China, and internationally. Its machine vision products are used to automate the manufacture and distribution of discrete items, such as mobile phones, automotive components, and e-commerce packages, by locating, iden"
NYSE:SUZ,Suzano S.A.,Basic Materials,Paper & Paper Products,11.4,"Suzano S.A. manufactures and sells pulp and paper products in Brazil and internationally. It operates in two segments, Cellulose, and Paper. The company offers coated and uncoated printing and writing papers, paperboards, tissue papers, and market and fluff pulps. It also engages in the research, development, and production of biofuel; operation of port terminals; biotechnology and nanocrystalline"
NYSE:FIG,"Figma, Inc.",Technology,Software - Application,11.7,"Figma, Inc. develops and sells a collaborative, browser-based platform for designing, prototyping, building digital experiences, and subscriptions for access to its platform. The company offers Figma Design, a collaborative design tool for teams that explore ideas and gather feedback, build realistic prototypes, and streamline product development with design systems; Dev Mode to inspect designs an"
NASDAQ:CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,10.3,"Cytokinetics, Incorporated, a biopharmaceutical company, focuses on discovering, developing, and commercializing novel muscle activators and muscle inhibitors as potential treatments for debilitating diseases in the United States. The company markets MYQORZO, a novel, oral, and small molecule cardiac myosin inhibitor for the treatment of symptomatic oHCM. It also develops Aficamten, a novel, oral,"
NYSE:HBM,Hudbay Minerals Inc.,Basic Materials,Copper,12.8,"Hudbay Minerals Inc., a diversified mining company, focuses on the exploration, development, operation, and optimization of properties in North and South America. It primarily explores for copper concentrates containing copper, gold, zinc, molybdenum concentrates, and silver. It owns 100% interest in Copper Mountain mine located approximately 20 kilometers south of Princeton, British Columbia, in "
NASDAQ:ZION,Zions Bancorporation N.A.,Financial Services,Banks - Regional,9.9,"Zions Bancorporation, National Association provides various banking products and related services primarily in the states of Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Texas, Utah, Washington, and Wyoming. The company operates through Zions Bank, California Bank & Trust, Amegy Bank, National Bank of Arizona, Nevada State Bank, Vectra Bank Colorado, and The Commerce Bank of W"
NASDAQ:GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,10.6,"Globalstar, Inc. provides mobile satellite services in the United States, Canada, Europe, Central and South America, and internationally. It offers duplex two-way voice and data products, including mobile voice and data services and equipment for remote business continuity, recreational usage, safety, emergency preparedness and response, and other applications. The company also provides data trans"
NYSE:CACI,"CACI International, Inc.",Technology,Information Technology Services,13.5,"CACI International Inc, through its subsidiaries, provides expertise and technology solutions in the United States, the United Kingdom, continental Europe, and internationally. The company offers command, control, communications, and intelligence technology and networks; software-defined signals intelligence and electronic warfare solutions; and digital solutions, such as enterprise and agency-uni"
TSX:FTT,FINNING INTL,Industrials,Industrial Distribution,12.2,"Finning International Inc. sells, services, and rents heavy equipment, engines, and related products in Canada, Chile, the United Kingdom, Argentina, and internationally. The company offers articulated trucks, asphalt pavers, backhoe loaders, cold planers, compactors, dozers, drills, electric rope shovels, excavators, hydraulic mining shovels, log stackers, material handlers, motor graders, off-hi"
NYSE:GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,10.0,"Globus Medical, Inc. develops and commercializes healthcare solutions for patients with musculoskeletal disorders in the United States and internationally. The company offers spine products comprising traditional fusion implants, such as pedicle screw and rod systems, plating systems, intervertebral spacers, and corpectomy devices; treatment options for motion preservation technologies consisting "
NYSE:DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,10.6,"Darling Ingredients Inc. develops, produces, and sells sustainable natural ingredients from edible and inedible bio-nutrients in North America, Europe, China, South America, and internationally. The Feed Ingredients segment collects and processes animal by-products into non-food grade oils and protein meals; bakery residuals into cookie meal used in poultry and swine rations; used cooking oil into"
NASDAQ:VSAT,"ViaSat, Inc.",Technology,Communication Equipment,10.3,"Viasat, Inc. engages in the provision of broadband and communications products and services in the United States and internationally. It operates in segments, Communication Services; and Defense and Advanced Technologies. It offers satellite-based broadband and narrowband communications solutions; broadband services, including broadband internet access and voice over internet protocol; fixed and m"
NYSE:QXO,"QXO, Inc.",Industrials,Industrial Distribution,13.3,"QXO, Inc. distributes roofing, waterproofing and complementary building products in the United States and Canada. It offers roofing and siding materials for residential construction, such as asphalt shingles, metal roofing, wood roofing, tile roofing, slate roofing, roofing accessories, and roofing insulation; and siding materials, including vinyl siding aluminum siding, steel siding, fiber cement"
NYSE:CFR,"Cullen/Frost Bankers, Inc.",Financial Services,Banks - Regional,10.1,"Cullen/Frost Bankers, Inc. operates as the bank holding company for Frost Bank that provides commercial and consumer banking services in Texas. The company offers commercial banking services to corporations, including financing for industrial and commercial properties, interim construction related to industrial and commercial properties, equipment, inventories and accounts receivables, and acquisi"
NYSE:PNR,Pentair plc.,Industrials,Specialty Industrial Machinery,9.2,"Pentair plc provides various water solutions in the United States, Western Europe, China, Latin America, the Middle East, Southeast Asia, Australia, and Canada. It operates through three segments: Flow, Water Solutions, and Pool. The Flow segment designs, manufactures, and sells fluid treatment and pump products and systems, including pressure vessels, gas recovery solutions, membrane bioreactors,"
NYSE:OGE,OGE Energy Corp,Utilities,Utilities - Regulated Electric,9.6,"OGE Energy Corp., through its subsidiaries, generates, transmits, distributes, and sells electric energy in the United States. It owns and operates coal-fired, natural gas-fired, wind-powered, and solar-powered generating assets. The company also provides retail electric services to approximately 913,000 customers that covers a service area of approximately 30,000 square miles. Additionally, it of"
TSX:X,TMX GROUP LIMITED,Financial Services,Financial Data & Stock Exchanges,14.3,"TMX Group Limited operates exchanges, markets, and clearinghouses primarily for capital markets in Canada, the United States, the United Kingdom, Germany, and internationally. It operates in four segments: Global Insights; Capital Formation; Derivatives Trading & Clearing; and Equities and Fixed Income Trading & Clearing. The company delivers equities and index data, as well as integrated data set"
TSX:KEY,KEYERA CORP,Energy,Oil & Gas Midstream,0.0,"Keyera Corp. together with its subsidiaries, engages in the gathering and processing of natural gas; and the transportation, storage, and marketing of natural gas liquids and iso-octane in Canada and the United States. It operates through three segments: Gathering and Processing, Liquids Infrastructure, and Marketing. The Gathering and Processing segment owns and operates raw gas gathering pipelin"
